12	723873	5
12	1936617	5
12	1213299	3
12	1174530	5
12	1488844	3
12	1569545	5
12	962487	5
12	1296163	1
12	2198355	1
12	568620	4
12	2315451	5
12	327122	5
12	2061241	5
12	1656837	5
12	2636158	4
12	914508	4
12	546017	2
12	2459251	4
12	837413	2
12	2621862	1
12	2316326	1
12	499956	3
12	549619	4
12	92056	2
12	2542255	5
12	12876	5
12	2403601	2
12	752696	5
12	2162424	4
12	2551641	3
12	818736	4
12	2188944	1
12	888933	5
12	2438429	5
12	318939	5
12	1310250	3
12	37444	4
12	2309963	5
12	360830	5
12	1984086	5
12	1417435	5
12	2584690	5
12	1977959	4
12	2360767	4
12	341961	1
12	918897	4
12	543865	5
12	1910699	1
12	537732	4
12	2235414	3
12	117386	1
12	1628622	5
12	327179	1
12	955178	5
12	1059927	3
12	2063030	2
12	1703680	4
12	1752638	1
12	2631649	5
12	94912	1
12	1348148	4
12	880866	2
12	270469	5
12	2577867	4
12	2402990	5
12	629742	4
12	1105843	3
12	216190	5
12	2300312	4
12	941624	4
12	409239	3
12	1734105	5
12	1153585	5
12	2600558	4
12	303948	5
12	2090015	5
12	1224299	4
12	2244849	3
12	507921	5
12	631387	5
12	513501	5
12	2209992	3
12	2637948	5
12	2087711	5
12	2385364	4
12	1221336	5
12	112320	5
12	125296	3
12	1553054	5
12	1030733	4
12	182031	5
12	809943	5
12	235253	4
12	245808	3
12	1645535	5
12	1673185	3
12	2491620	4
12	86365	3
12	2023030	4
12	930710	5
12	2602249	3
12	1279939	3
12	1399335	5
12	2443471	5
12	820785	1
12	1632290	1
12	1187949	5
12	1067986	3
12	1704130	5
12	723409	4
12	290215	4
12	289920	5
12	1582412	1
12	1240206	1
12	2388205	2
12	786312	3
12	831920	1
12	917679	4
12	124829	2
12	2105661	4
12	1097970	1
12	1747154	1
12	199635	5
12	1928445	4
12	16581	2
12	85550	4
12	1018547	5
12	2541939	5
12	570929	5
12	2119007	2
12	311641	3
12	1679793	5
12	2266083	5
12	2102030	5
12	1900329	4
12	1002367	3
12	1144279	1
12	1787989	5
12	291248	5
12	642621	5
12	1943596	1
12	566819	5
12	401047	2
12	1691792	5
12	31835	5
12	1481961	1
12	661407	5
12	522637	4
12	1688557	1
12	2070937	2
12	2101803	1
12	1784150	5
12	1582098	5
12	1973956	4
12	1509395	5
12	664209	5
12	1305872	5
12	496631	5
12	51870	5
12	314110	1
12	2364018	4
12	277135	5
12	121943	5
12	178860	1
12	1262753	2
12	457011	4
12	361832	5
12	1309838	5
12	1119488	3
12	1931026	4
12	2464928	4
12	1061353	1
12	1752727	1
12	1564649	4
12	1559022	2
12	2520513	5
12	1919770	1
12	1546373	1
12	2455068	4
12	1696308	5
12	901520	4
12	41724	2
12	1123540	2
12	293014	4
12	1259696	5
12	818816	5
12	239285	5
12	1658098	3
12	459772	2
12	2143870	4
12	1511683	1
12	753663	5
12	1859573	5
12	1866730	3
12	435009	5
12	1690399	1
12	380354	5
12	962384	1
12	1508003	1
12	516192	5
12	2163361	1
12	1977612	5
12	789969	4
12	2561713	1
12	2233782	1
12	2424839	4
12	47312	5
12	2535470	1
12	1278832	5
12	498525	4
12	2584740	5
12	88897	1
12	716874	3
12	1556097	5
12	513210	5
12	1750396	5
12	2640550	4
12	891618	4
12	1569765	5
12	1417806	5
12	322874	1
12	1522371	1
12	316931	5
12	2289197	1
12	2535229	4
12	1291419	4
12	1833866	1
12	840163	1
12	913679	1
12	1814098	1
12	1234398	1
12	2251582	3
12	1737384	5
12	2481068	5
12	432983	5
12	754329	4
12	1280120	4
12	52029	5
12	2647396	5
12	1579340	5
12	1356239	5
12	1270565	5
12	84454	4
12	2370879	5
12	2068022	1
12	727242	5
12	341468	5
12	2460896	5
12	1949178	2
12	1757843	4
12	2557491	5
12	1810565	4
12	1531780	3
12	1662714	5
12	2322383	1
12	383702	3
12	966992	4
12	131752	2
12	2174151	5
12	664809	4
12	627975	5
12	2378867	5
12	2333763	5
12	643641	5
12	2236190	5
12	199257	5
